epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1823.82,1.54567,2.22467,2.45714,1.59528,0.41233,0.36413,0.31155,0.10869,0.37131,0.3258,0.2647,0.07397,2.09438,2.09633,2.25655,1.98829,0.00331361,0.00331361,0.00331361
2,3539.71,1.47601,1.6197,1.54476,1.4562,0.41706,0.46105,0.36089,0.13421,0.39384,0.43904,0.32802,0.10383,2.10294,2.00439,1.92836,1.9743,0.00664684,0.00664684,0.00664684
3,5346.32,1.57333,1.72457,1.61583,1.50328,0.32237,0.32238,0.22131,0.07263,0.30279,0.30526,0.20373,0.06109,2.38743,2.25477,2.76184,2.26544,0.00997967,0.00997967,0.00997967
4,7247,1.70728,1.85965,1.74671,1.58904,0.37548,0.28085,0.2243,0.07573,0.3626,0.2398,0.19595,0.05996,2.33033,2.4553,2.70547,2.31446,0.00999863,0.00999863,0.00999863
5,8998.11,1.71489,1.76297,1.6787,1.6004,0.33994,0.45563,0.31613,0.11557,0.30509,0.42434,0.27564,0.09332,2.1583,1.89315,2.18893,2.0678,0.00999756,0.00999756,0.00999756
6,11058.9,1.69967,1.78662,1.63578,1.60784,0.3919,0.41942,0.3478,0.1259,0.37512,0.40838,0.32531,0.1041,2.10499,2.03586,2.17489,1.97626,0.00999618,0.00999618,0.00999618
7,12520,1.65345,1.74345,1.58202,1.55279,0.32895,0.35305,0.26418,0.09887,0.31229,0.32933,0.22811,0.07059,2.1737,2.08398,2.24917,2.05885,0.0099945,0.0099945,0.0099945
8,14287.8,1.65001,1.72938,1.55513,1.55809,0.51082,0.51644,0.45304,0.16005,0.47557,0.49424,0.39719,0.12525,2.08807,1.90903,1.93155,1.95865,0.00999252,0.00999252,0.00999252
9,15970.7,1.62365,1.68473,1.52337,1.55561,0.45477,0.51317,0.43785,0.1754,0.44048,0.485,0.4036,0.1374,1.97736,1.76085,1.95247,1.90261,0.00999023,0.00999023,0.00999023
10,17713.7,1.61295,1.66067,1.50242,1.53648,0.54451,0.551,0.51138,0.20578,0.51646,0.52732,0.46814,0.16479,1.94753,1.70898,1.86488,1.85237,0.00998764,0.00998764,0.00998764
11,19073.9,1.61715,1.6381,1.44966,1.53837,0.45907,0.39424,0.35662,0.14213,0.39179,0.36677,0.29137,0.09678,2.07778,1.90928,2.14592,1.97886,0.00998474,0.00998474,0.00998474
12,20775.7,1.60023,1.63165,1.41846,1.5181,0.55486,0.55061,0.54304,0.2378,0.53539,0.52301,0.49685,0.18388,1.91233,1.67351,1.58995,1.81208,0.00998154,0.00998154,0.00998154
13,22361,1.57127,1.59756,1.41603,1.50722,0.56055,0.54621,0.54524,0.23104,0.54092,0.54604,0.51567,0.18733,1.88882,1.57808,1.59266,1.82991,0.00997803,0.00997803,0.00997803
14,24049.8,1.57282,1.58223,1.38214,1.51091,0.55536,0.48688,0.48976,0.20466,0.53076,0.47034,0.45568,0.16367,1.93093,1.63385,1.74009,1.87962,0.00997422,0.00997422,0.00997422
15,25728.2,1.53796,1.57404,1.35099,1.50652,0.57864,0.59186,0.58521,0.24898,0.55707,0.56939,0.5365,0.19289,1.87028,1.55905,1.53065,1.7867,0.00997011,0.00997011,0.00997011
