epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,27293.7,1.54272,1.54804,1.35943,1.50998,0.56736,0.60789,0.58535,0.25631,0.52519,0.57122,0.5257,0.18929,1.83947,1.56124,1.55094,1.78067,0.00996569,0.00996569,0.00996569
17,28909.1,1.50448,1.52233,1.29344,1.46868,0.6322,0.58738,0.60852,0.27443,0.61437,0.56211,0.57068,0.22352,1.819,1.49826,1.51087,1.76188,0.00996097,0.00996097,0.00996097
18,30598.3,1.52843,1.52224,1.31114,1.47409,0.56385,0.61836,0.58977,0.26102,0.54909,0.58403,0.54771,0.20786,1.86692,1.54316,1.5275,1.77464,0.00995594,0.00995594,0.00995594
19,32227.2,1.5253,1.48391,1.28837,1.46687,0.55493,0.60036,0.59216,0.26817,0.53628,0.57426,0.55386,0.21435,1.80541,1.53925,1.48334,1.75428,0.00995062,0.00995062,0.00995062
20,33923.6,1.48752,1.52053,1.26677,1.45932,0.63162,0.60739,0.63732,0.28169,0.60704,0.58772,0.59263,0.22404,1.8355,1.5007,1.39532,1.74716,0.00994499,0.00994499,0.00994499
21,35589.8,1.49831,1.50694,1.27147,1.46364,0.62128,0.62221,0.6337,0.28461,0.5997,0.59718,0.59465,0.23109,1.81778,1.49917,1.48791,1.7491,0.00993906,0.00993906,0.00993906
22,37192,1.49918,1.50513,1.26021,1.45489,0.66292,0.56846,0.60122,0.26772,0.62502,0.53422,0.53696,0.19844,1.83916,1.57582,1.53473,1.79141,0.00993282,0.00993282,0.00993282
23,38766.2,1.47773,1.48762,1.25153,1.46004,0.63789,0.59066,0.61926,0.27738,0.60942,0.57386,0.5751,0.22371,1.83772,1.52465,1.4595,1.80156,0.00992629,0.00992629,0.00992629
24,40416.1,1.49428,1.47909,1.21797,1.45352,0.64893,0.63754,0.6608,0.29908,0.63918,0.6119,0.62027,0.23351,1.79408,1.4713,1.40341,1.72876,0.00991946,0.00991946,0.00991946
25,41957,1.46563,1.46887,1.22243,1.43841,0.65687,0.60155,0.63574,0.29927,0.63122,0.58548,0.60197,0.23985,1.77711,1.47522,1.43867,1.7717,0.00991232,0.00991232,0.00991232
26,43755.2,1.47933,1.46821,1.20672,1.45712,0.64514,0.64631,0.67613,0.30579,0.60282,0.62256,0.61612,0.23961,1.80247,1.56491,1.37873,1.74147,0.00990489,0.00990489,0.00990489
27,45425.4,1.44891,1.43918,1.19983,1.43844,0.64035,0.61483,0.64757,0.29658,0.62047,0.58578,0.59826,0.2324,1.80075,1.5156,1.41486,1.77408,0.00989715,0.00989715,0.00989715
28,47196.7,1.45116,1.4401,1.19937,1.44407,0.66566,0.61712,0.66405,0.31339,0.64666,0.60026,0.62703,0.24768,1.76127,1.44432,1.33731,1.70377,0.00988912,0.00988912,0.00988912
29,48873.2,1.46215,1.44414,1.1943,1.4341,0.66602,0.60299,0.66128,0.31321,0.64279,0.58381,0.61499,0.24708,1.75428,1.51969,1.37081,1.70999,0.00988079,0.00988079,0.00988079
30,50870.6,1.44995,1.45643,1.16849,1.43479,0.61439,0.6522,0.65925,0.32001,0.59235,0.6249,0.62648,0.25464,1.75754,1.42657,1.34576,1.72524,0.00987216,0.00987216,0.00987216
31,52596,1.45345,1.39631,1.16943,1.43518,0.63003,0.65044,0.67099,0.31684,0.61193,0.6423,0.63819,0.25296,1.76443,1.4263,1.33374,1.72664,0.00986323,0.00986323,0.00986323
32,54271.8,1.44379,1.42421,1.15623,1.42617,0.67102,0.66843,0.70327,0.33935,0.65233,0.65521,0.6631,0.27288,1.73193,1.41071,1.28456,1.68134,0.00985401,0.00985401,0.00985401
33,56109.7,1.43757,1.42084,1.1466,1.41815,0.646,0.61741,0.65244,0.32269,0.62087,0.59802,0.60334,0.24862,1.7058,1.45719,1.33476,1.69634,0.00984449,0.00984449,0.00984449
34,57807.4,1.42555,1.40699,1.15551,1.41565,0.65031,0.63654,0.66232,0.31464,0.62987,0.61307,0.61438,0.24834,1.72403,1.40857,1.34391,1.6925,0.00983467,0.00983467,0.00983467
35,59310.6,1.4348,1.42492,1.17241,1.42424,0.65873,0.60592,0.66918,0.32875,0.64285,0.59772,0.64886,0.27,1.70407,1.40954,1.32998,1.67987,0.00982456,0.00982456,0.00982456
36,61105.5,1.42902,1.43391,1.14265,1.42492,0.65008,0.62084,0.62858,0.30308,0.62567,0.59562,0.59772,0.24388,1.75383,1.40314,1.37406,1.7496,0.00981415,0.00981415,0.00981415
37,62714.8,1.40653,1.37852,1.11481,1.4026,0.67201,0.65959,0.69055,0.33508,0.6536,0.66193,0.672,0.26951,1.71365,1.39648,1.30501,1.65998,0.00980345,0.00980345,0.00980345
38,64440.5,1.4348,1.3912,1.14346,1.42716,0.66142,0.64852,0.67888,0.33437,0.64203,0.64559,0.65074,0.26962,1.71248,1.38772,1.31263,1.68145,0.00979246,0.00979246,0.00979246
39,65996.6,1.41224,1.38958,1.1258,1.41682,0.69127,0.65328,0.70595,0.34252,0.66779,0.63345,0.66612,0.27876,1.70654,1.38184,1.25819,1.68884,0.00978118,0.00978118,0.00978118
40,67831.3,1.40561,1.40301,1.09536,1.39825,0.69522,0.68112,0.714,0.35052,0.67586,0.65883,0.67987,0.28249,1.71319,1.36305,1.27551,1.68741,0.0097696,0.0097696,0.0097696
41,69526.7,1.41773,1.37042,1.12782,1.41482,0.68549,0.6644,0.71013,0.35284,0.65897,0.6556,0.6692,0.28366,1.70799,1.39224,1.27832,1.6809,0.00975773,0.00975773,0.00975773
42,71494.3,1.41022,1.3618,1.08919,1.40444,0.68018,0.67923,0.72298,0.35936,0.64508,0.66282,0.67976,0.28626,1.69697,1.38321,1.22857,1.66084,0.00974557,0.00974557,0.00974557
43,73049.6,1.39559,1.35294,1.08966,1.39611,0.69714,0.66417,0.70874,0.34934,0.67743,0.65193,0.68232,0.28833,1.70565,1.3999,1.26358,1.68679,0.00973312,0.00973312,0.00973312
44,74745.9,1.38545,1.36322,1.08457,1.39676,0.68914,0.68656,0.72844,0.36217,0.6752,0.66972,0.69622,0.3006,1.68478,1.3573,1.23755,1.65638,0.00972039,0.00972039,0.00972039
45,76314.7,1.39181,1.33703,1.06524,1.38688,0.68045,0.66408,0.72203,0.35519,0.67039,0.65331,0.68896,0.30051,1.69591,1.39197,1.26408,1.66636,0.00970736,0.00970736,0.00970736
46,78121.1,1.38422,1.35633,1.07865,1.39888,0.67855,0.69378,0.73055,0.36725,0.66276,0.65999,0.68588,0.29449,1.6661,1.38233,1.22186,1.64243,0.00969405,0.00969405,0.00969405
47,79696.2,1.3841,1.37952,1.07492,1.39988,0.68849,0.67571,0.7201,0.36547,0.67557,0.66139,0.69262,0.29837,1.67874,1.34687,1.21535,1.66036,0.00968045,0.00968045,0.00968045
48,81407.2,1.39366,1.34611,1.07097,1.38919,0.73053,0.67141,0.74743,0.37609,0.71858,0.65795,0.71933,0.3154,1.66088,1.3393,1.19448,1.62845,0.00966656,0.00966656,0.00966656
49,83011.9,1.4041,1.35545,1.07051,1.39366,0.74727,0.69545,0.75381,0.37187,0.72843,0.68277,0.71651,0.31034,1.6651,1.33208,1.22519,1.63024,0.00965239,0.00965239,0.00965239
50,84720.2,1.38163,1.32835,1.05185,1.38295,0.69389,0.67339,0.71247,0.36068,0.67367,0.65623,0.67807,0.28553,1.66652,1.34791,1.21935,1.65183,0.00963794,0.00963794,0.00963794
51,86346.8,1.36344,1.32715,1.04185,1.38145,0.70886,0.69987,0.74946,0.37005,0.70898,0.68371,0.72122,0.31123,1.67711,1.33465,1.2037,1.66873,0.0096232,0.0096232,0.0096232
52,88046,1.37025,1.32546,1.04919,1.3847,0.70891,0.72111,0.76133,0.38448,0.69699,0.71504,0.73395,0.31599,1.64361,1.32939,1.20566,1.6333,0.00960819,0.00960819,0.00960819
53,89667.9,1.35407,1.33095,1.03077,1.37598,0.7281,0.70258,0.75917,0.38472,0.71361,0.69221,0.73049,0.31745,1.64607,1.30954,1.17212,1.61553,0.00959289,0.00959289,0.00959289
54,91413.6,1.36709,1.29129,1.04082,1.3812,0.693,0.70969,0.75265,0.38637,0.68036,0.69808,0.72921,0.32657,1.64225,1.33564,1.19315,1.64109,0.00957731,0.00957731,0.00957731
55,92825.8,1.37786,1.3259,1.06152,1.38823,0.69679,0.7141,0.75257,0.38608,0.67611,0.6967,0.71703,0.32008,1.61433,1.30735,1.19207,1.62012,0.00956145,0.00956145,0.00956145
56,94730.9,1.35736,1.32654,1.0479,1.38529,0.70494,0.72175,0.75302,0.38688,0.6829,0.70559,0.71541,0.31451,1.62565,1.32646,1.17033,1.61026,0.00954531,0.00954531,0.00954531
57,96426,1.34663,1.32233,1.02226,1.36614,0.70637,0.70443,0.74063,0.38167,0.69371,0.70136,0.70979,0.31164,1.63768,1.33328,1.20648,1.61119,0.00952889,0.00952889,0.00952889
58,98044.9,1.34806,1.30043,1.02949,1.3755,0.70823,0.71001,0.75048,0.38008,0.69792,0.69197,0.72233,0.32136,1.61188,1.31018,1.17125,1.61611,0.0095122,0.0095122,0.0095122
59,99710.8,1.36094,1.31598,1.01713,1.37619,0.70613,0.72576,0.76259,0.38912,0.69112,0.71417,0.73012,0.32287,1.63567,1.30858,1.16791,1.61867,0.00949524,0.00949524,0.00949524
60,101451,1.36258,1.29294,1.02375,1.37533,0.71963,0.72887,0.77151,0.38913,0.7009,0.70692,0.73585,0.3262,1.64741,1.31454,1.14345,1.62198,0.009478,0.009478,0.009478
61,103175,1.34546,1.28901,1.02354,1.36243,0.71666,0.69715,0.75813,0.38904,0.69386,0.68984,0.72716,0.32829,1.63478,1.31092,1.17269,1.62402,0.00946048,0.00946048,0.00946048
62,104859,1.37204,1.29957,1.02623,1.38518,0.72305,0.69336,0.75445,0.40026,0.71202,0.68495,0.73227,0.3341,1.62345,1.29675,1.13001,1.60583,0.0094427,0.0094427,0.0094427
63,106403,1.34042,1.28461,0.99439,1.35371,0.71425,0.75485,0.76703,0.38946,0.70683,0.7502,0.74778,0.32594,1.636,1.32132,1.15068,1.60376,0.00942464,0.00942464,0.00942464
64,107978,1.33077,1.29318,1.00352,1.35649,0.72257,0.72969,0.76416,0.39287,0.69932,0.71262,0.73094,0.32705,1.61266,1.31308,1.14425,1.576,0.00940631,0.00940631,0.00940631
65,109485,1.34069,1.32142,1.00668,1.36297,0.71941,0.75973,0.77364,0.39563,0.70478,0.73697,0.73796,0.32194,1.63726,1.31828,1.15073,1.59667,0.00938772,0.00938772,0.00938772
66,111232,1.33479,1.29558,0.99669,1.35024,0.71357,0.71401,0.77802,0.40437,0.71861,0.69169,0.7463,0.33964,1.60888,1.29238,1.13665,1.59162,0.00936886,0.00936886,0.00936886
67,112734,1.31338,1.26663,0.99544,1.34734,0.74134,0.69807,0.77042,0.40873,0.72122,0.68195,0.74089,0.34018,1.57928,1.27112,1.13902,1.58489,0.00934973,0.00934973,0.00934973
68,114470,1.33859,1.29977,0.98495,1.35488,0.71395,0.73323,0.77615,0.4043,0.70316,0.7312,0.75427,0.33729,1.6018,1.28054,1.1377,1.58953,0.00933033,0.00933033,0.00933033
69,116137,1.32545,1.27158,0.98449,1.34761,0.73753,0.71388,0.78275,0.41581,0.728,0.70306,0.75567,0.34047,1.59525,1.27014,1.10853,1.598,0.00931067,0.00931067,0.00931067
70,117878,1.33969,1.26548,0.98097,1.3636,0.75394,0.76553,0.80261,0.41165,0.73727,0.75234,0.77437,0.3457,1.60427,1.27155,1.09529,1.58587,0.00929075,0.00929075,0.00929075
71,119435,1.31771,1.28424,0.97587,1.34142,0.72053,0.7357,0.77674,0.40397,0.71867,0.71108,0.75251,0.34025,1.60119,1.26465,1.1244,1.57193,0.00927057,0.00927057,0.00927057
72,121326,1.33033,1.29025,0.96734,1.35569,0.74193,0.75537,0.79371,0.41212,0.72741,0.74166,0.77203,0.3517,1.60116,1.25631,1.08696,1.56755,0.00925013,0.00925013,0.00925013
73,122994,1.32605,1.29258,0.98394,1.3515,0.73435,0.73302,0.78786,0.41324,0.72286,0.72298,0.76225,0.34132,1.59661,1.26584,1.0995,1.57409,0.00922942,0.00922942,0.00922942
74,124702,1.31771,1.25435,0.9789,1.35593,0.70003,0.72723,0.77695,0.41611,0.69081,0.72441,0.75781,0.34783,1.57419,1.27208,1.12237,1.58797,0.00920846,0.00920846,0.00920846
75,126242,1.32666,1.2825,0.95639,1.34591,0.72825,0.72751,0.78419,0.40586,0.71301,0.72003,0.75839,0.338,1.58615,1.25419,1.1015,1.57394,0.00918725,0.00918725,0.00918725
76,127874,1.30955,1.23926,0.95635,1.34724,0.7209,0.7502,0.79595,0.41619,0.71653,0.73016,0.76647,0.34702,1.60055,1.27229,1.08291,1.57183,0.00916577,0.00916577,0.00916577
77,129518,1.3372,1.26642,0.96623,1.35353,0.72513,0.73889,0.77911,0.40931,0.71139,0.72596,0.75204,0.33574,1.59393,1.26466,1.12157,1.58104,0.00914405,0.00914405,0.00914405
78,131191,1.30984,1.25976,0.95886,1.3468,0.74788,0.73507,0.79131,0.41962,0.72406,0.73042,0.76205,0.35264,1.56167,1.25173,1.08665,1.55333,0.00912207,0.00912207,0.00912207
79,132706,1.32146,1.2547,0.96611,1.34243,0.7299,0.74105,0.78996,0.41989,0.71372,0.72665,0.75579,0.35335,1.58513,1.2421,1.10463,1.5621,0.00909984,0.00909984,0.00909984
80,134396,1.30945,1.24726,0.95639,1.33341,0.75902,0.74078,0.79685,0.42417,0.73955,0.74139,0.77602,0.35703,1.58063,1.23976,1.06308,1.55471,0.00907736,0.00907736,0.00907736
81,135988,1.30297,1.25836,0.96169,1.33382,0.71873,0.735,0.79157,0.42799,0.70862,0.73338,0.76661,0.35734,1.54485,1.23507,1.08395,1.53919,0.00905463,0.00905463,0.00905463
82,137761,1.31859,1.26204,0.96145,1.34066,0.72539,0.74558,0.79124,0.42523,0.71365,0.7342,0.77045,0.359,1.55728,1.23147,1.08191,1.55746,0.00903166,0.00903166,0.00903166
83,139317,1.30484,1.21297,0.95806,1.33617,0.68315,0.7486,0.78646,0.4211,0.67688,0.73237,0.76198,0.35411,1.5465,1.23792,1.11214,1.54769,0.00900844,0.00900844,0.00900844
84,141069,1.29452,1.25128,0.93267,1.32459,0.72772,0.75975,0.79887,0.43076,0.72596,0.74897,0.77348,0.36338,1.55535,1.22991,1.06065,1.54797,0.00898497,0.00898497,0.00898497
85,142673,1.30695,1.23194,0.93656,1.3328,0.72934,0.72699,0.78943,0.43425,0.72324,0.72065,0.77278,0.36978,1.53609,1.22577,1.08773,1.54586,0.00896127,0.00896127,0.00896127
86,144274,1.29285,1.24727,0.93906,1.3284,0.73368,0.75858,0.80525,0.42959,0.71717,0.75468,0.77716,0.35802,1.55813,1.20854,1.0651,1.54867,0.00893732,0.00893732,0.00893732
87,145840,1.30003,1.2278,0.92515,1.33166,0.74373,0.7405,0.79739,0.43001,0.7332,0.72955,0.76653,0.36253,1.53088,1.21523,1.06674,1.52872,0.00891313,0.00891313,0.00891313
88,147525,1.29348,1.24384,0.92815,1.33456,0.73956,0.75238,0.80644,0.43627,0.72643,0.74183,0.78093,0.36402,1.54794,1.22464,1.02104,1.53383,0.0088887,0.0088887,0.0088887
89,149233,1.29011,1.22326,0.91951,1.32866,0.73548,0.76996,0.81911,0.44804,0.72035,0.76094,0.7913,0.3804,1.53415,1.21721,1.02988,1.5324,0.00886404,0.00886404,0.00886404
90,151060,1.29023,1.27524,0.93964,1.33105,0.73378,0.76479,0.80896,0.44668,0.7166,0.75372,0.77745,0.37015,1.53843,1.23824,1.02542,1.52909,0.00883914,0.00883914,0.00883914
91,152599,1.29331,1.20298,0.92813,1.33694,0.73391,0.76728,0.80119,0.43064,0.72755,0.76277,0.7784,0.36637,1.55269,1.23145,1.02649,1.55269,0.00881401,0.00881401,0.00881401
92,154508,1.2722,1.20357,0.92564,1.32461,0.73319,0.74963,0.80311,0.44217,0.71355,0.73816,0.77765,0.37008,1.51517,1.21018,1.05486,1.5204,0.00878864,0.00878864,0.00878864
93,156340,1.28894,1.21073,0.91806,1.31818,0.75006,0.74578,0.80928,0.44038,0.73605,0.733,0.77521,0.36805,1.53431,1.20535,1.04539,1.52296,0.00876305,0.00876305,0.00876305
94,158027,1.28581,1.22282,0.91411,1.32125,0.74223,0.75634,0.817,0.44782,0.7268,0.74278,0.78668,0.37228,1.53587,1.19525,1.02957,1.52885,0.00873723,0.00873723,0.00873723
95,159716,1.28399,1.20528,0.91597,1.31415,0.74301,0.75155,0.8046,0.44403,0.7242,0.74586,0.77338,0.36992,1.51159,1.19433,1.04028,1.51879,0.00871117,0.00871117,0.00871117
96,161396,1.28067,1.22133,0.90884,1.31575,0.74462,0.75151,0.81942,0.44628,0.73087,0.73853,0.78638,0.36922,1.5169,1.19765,1.04045,1.51518,0.0086849,0.0086849,0.0086849
97,162943,1.26009,1.20838,0.89844,1.32515,0.7366,0.76061,0.81191,0.44505,0.73017,0.73795,0.78483,0.37917,1.5117,1.19522,1.02616,1.52375,0.00865839,0.00865839,0.00865839
98,164610,1.27186,1.21999,0.8973,1.3236,0.74376,0.76148,0.80968,0.44952,0.72662,0.7498,0.7787,0.37223,1.49186,1.18827,1.0317,1.51528,0.00863167,0.00863167,0.00863167
99,166293,1.2849,1.22172,0.90962,1.316,0.73126,0.73868,0.80354,0.44158,0.72244,0.72887,0.78427,0.3745,1.5181,1.18137,1.04031,1.51854,0.00860473,0.00860473,0.00860473
100,168023,1.26931,1.21194,0.89936,1.31454,0.74328,0.78115,0.8236,0.45742,0.72898,0.76972,0.79489,0.3803,1.48454,1.19658,1.02398,1.49829,0.00857756,0.00857756,0.00857756
101,169581,1.26819,1.19688,0.89079,1.31759,0.74256,0.78491,0.8285,0.45581,0.7237,0.77539,0.7983,0.38401,1.51197,1.18073,1.00199,1.53261,0.00855018,0.00855018,0.00855018
102,171196,1.27623,1.203,0.90326,1.3266,0.74646,0.76899,0.82231,0.45054,0.72943,0.75584,0.79439,0.38216,1.50624,1.19576,1.01489,1.51765,0.00852258,0.00852258,0.00852258
103,172732,1.27512,1.18299,0.89756,1.31563,0.72952,0.756,0.81288,0.4567,0.7262,0.74741,0.78818,0.38312,1.49587,1.20058,1.01583,1.51437,0.00849477,0.00849477,0.00849477
104,174609,1.2594,1.19065,0.9095,1.31645,0.72576,0.77139,0.81911,0.46162,0.7164,0.75871,0.79052,0.38764,1.47617,1.16297,1.03146,1.48828,0.00846674,0.00846674,0.00846674
105,176239,1.26828,1.19803,0.88783,1.31319,0.74485,0.77939,0.82261,0.46051,0.73408,0.76612,0.79496,0.3819,1.49243,1.16978,1.00606,1.49567,0.00843851,0.00843851,0.00843851
106,177908,1.2574,1.19458,0.88698,1.30832,0.7432,0.75177,0.81661,0.45335,0.71738,0.74384,0.78359,0.38268,1.50965,1.16879,1.0114,1.52567,0.00841006,0.00841006,0.00841006
107,179584,1.27165,1.18447,0.90174,1.31045,0.75628,0.76111,0.82162,0.46195,0.74971,0.75596,0.79424,0.38999,1.47525,1.16854,1.00185,1.48634,0.00838141,0.00838141,0.00838141
108,181518,1.27496,1.1953,0.8918,1.30921,0.75613,0.76678,0.82662,0.46337,0.74489,0.75551,0.79584,0.38838,1.48795,1.17775,1.00033,1.4983,0.00835255,0.00835255,0.00835255
109,183149,1.2686,1.19122,0.872,1.30808,0.75331,0.76502,0.81711,0.46208,0.74163,0.75836,0.78742,0.38808,1.47315,1.17644,1.00604,1.50222,0.00832349,0.00832349,0.00832349
110,184793,1.26038,1.17688,0.88204,1.31416,0.74193,0.78373,0.83102,0.47137,0.71749,0.77511,0.79963,0.39395,1.48333,1.16646,1.00387,1.49386,0.00829423,0.00829423,0.00829423
111,186556,1.25,1.20384,0.87283,1.31004,0.73289,0.77111,0.81884,0.45705,0.73065,0.76182,0.7959,0.39019,1.47868,1.14895,1.00155,1.50653,0.00826477,0.00826477,0.00826477
112,188281,1.25904,1.19587,0.88053,1.30536,0.72334,0.77719,0.82005,0.46266,0.7125,0.76291,0.79388,0.39193,1.4809,1.15056,1.01407,1.4977,0.00823511,0.00823511,0.00823511
113,189949,1.2333,1.16132,0.8688,1.29652,0.74203,0.78009,0.82638,0.472,0.73704,0.77128,0.80879,0.40257,1.46459,1.15509,0.99225,1.49568,0.00820525,0.00820525,0.00820525
114,191732,1.24683,1.17633,0.85991,1.28737,0.7482,0.78825,0.83374,0.4694,0.73579,0.77569,0.80921,0.39725,1.45689,1.15138,0.97705,1.47192,0.0081752,0.0081752,0.0081752
115,193540,1.25227,1.17696,0.86966,1.30017,0.76655,0.8008,0.84305,0.47887,0.75606,0.79455,0.82239,0.40288,1.4613,1.13366,0.96912,1.47719,0.00814495,0.00814495,0.00814495
116,195165,1.24464,1.16758,0.85769,1.29501,0.7527,0.79303,0.8413,0.48092,0.74487,0.78795,0.82358,0.402,1.46066,1.14609,0.96859,1.47311,0.00811452,0.00811452,0.00811452
117,196691,1.2443,1.16947,0.86647,1.2846,0.74268,0.80489,0.83578,0.47819,0.72668,0.78907,0.80749,0.4029,1.44068,1.12623,0.98156,1.45574,0.00808389,0.00808389,0.00808389
118,198421,1.23806,1.19463,0.8581,1.28854,0.75019,0.79947,0.83522,0.47777,0.74085,0.79121,0.80846,0.40245,1.44635,1.13253,0.97778,1.45845,0.00805308,0.00805308,0.00805308
119,200055,1.24309,1.16767,0.85722,1.2981,0.74992,0.79067,0.83239,0.47294,0.74421,0.78627,0.81423,0.40152,1.45113,1.13188,0.96365,1.46084,0.00802208,0.00802208,0.00802208
120,201953,1.24746,1.14122,0.87089,1.29351,0.75261,0.8046,0.83752,0.47885,0.74343,0.79619,0.81249,0.40488,1.44737,1.14393,0.96287,1.45977,0.0079909,0.0079909,0.0079909
121,203700,1.22392,1.19155,0.8641,1.29434,0.75033,0.80362,0.83609,0.48198,0.74081,0.79564,0.81333,0.40723,1.43699,1.13462,0.94986,1.45431,0.00795954,0.00795954,0.00795954
122,205420,1.24526,1.18037,0.85549,1.2854,0.75875,0.80639,0.84102,0.48502,0.74683,0.79269,0.81364,0.405,1.43426,1.13105,0.96402,1.43563,0.007928,0.007928,0.007928
123,207005,1.22463,1.16744,0.84736,1.27593,0.76092,0.79052,0.84356,0.48932,0.75074,0.78638,0.81888,0.4112,1.43225,1.13686,0.9511,1.43973,0.00789628,0.00789628,0.00789628
124,208535,1.2269,1.15667,0.85465,1.28438,0.76676,0.77052,0.84072,0.48428,0.75721,0.76261,0.81928,0.40861,1.43328,1.13373,0.95683,1.45443,0.00786438,0.00786438,0.00786438
125,210400,1.23716,1.17475,0.85491,1.28661,0.74594,0.81128,0.8447,0.48013,0.72727,0.79687,0.81459,0.40487,1.43197,1.12603,0.96528,1.45382,0.00783231,0.00783231,0.00783231
126,212203,1.22945,1.18069,0.85539,1.28869,0.75637,0.79909,0.83928,0.48627,0.74224,0.79013,0.81924,0.40725,1.42965,1.12383,0.9647,1.44858,0.00780007,0.00780007,0.00780007
127,213854,1.21922,1.15925,0.84919,1.28378,0.75701,0.79256,0.84701,0.49047,0.74504,0.78493,0.82357,0.41169,1.42192,1.11422,0.95046,1.43087,0.00776766,0.00776766,0.00776766
128,215658,1.23558,1.13954,0.83885,1.28469,0.756,0.80857,0.84736,0.49177,0.73949,0.79975,0.8212,0.41265,1.41306,1.10509,0.95105,1.43158,0.00773509,0.00773509,0.00773509
129,217492,1.23366,1.13128,0.85253,1.28523,0.7323,0.80838,0.8388,0.48875,0.72945,0.79655,0.81817,0.41077,1.4161,1.1129,0.96181,1.43722,0.00770234,0.00770234,0.00770234
130,219270,1.21986,1.15088,0.84112,1.27688,0.75986,0.80885,0.8492,0.49227,0.74548,0.79782,0.81783,0.41073,1.40602,1.10814,0.94418,1.42235,0.00766944,0.00766944,0.00766944
131,221053,1.21674,1.15554,0.85445,1.27584,0.75813,0.81802,0.84981,0.49896,0.74889,0.80599,0.82247,0.41967,1.40271,1.11411,0.9435,1.42472,0.00763637,0.00763637,0.00763637
